movie,year,numberofwords,time,toptenwords
AllAboutEvesrt,1950,17498,135.84mins,"['with', 'so', 'but', 'do', 'as', 'just', 'your', 'margo', 'about', 'm']"
AnnieGetYourGunsrt,1950,11761,107.09mins,"['now', 'll', 'got', 'with', 'frank', 'do', 'm', 'they', 'up', 'here']"
BornYesterdaysrt,1950,13207,101.97mins,"['do', 'know', 'right', 'm', 'so', 'how', 'got', 're', 'll', 'harry']"
BrokenArrowsrt,1950,7818,92.32mins,"['will', 'they', 'cochise', 'are', 'your', 'but', 'do', 'with', 'here', 'there']"
CheaperByTheDozensrt,1950,14336,85.82mins,"['ll', 'but', 'do', 'your', 'good', 'dad', 'm', 'go', 're', 'come']"
Cinderellasrt,1950,5804,74.06mins,"['but', 'your', 'now', 'come', 'll', 'cinderella', 'do', 'yes', 'there', 'cinderelly']"
FatheroftheBridesrt,1950,12533,91.66mins,"['about', 'now', 'll', 'kay', 'are', 'know', 'just', 'right', 'do', 're']"
KingSolomonsMinessrt,1950,7067,101.50mins,"['they', 'there', 're', 'about', 've', 'here', 'are', 'him', 'curtis', 'with']"
SamsonandDelilahsrt,1950,11246,131.27mins,"['your', 'samson', 'him', 'his', 'll', 'with', 'will', 'delilah', 'but', 'they']"
SunsetBoulevardsrt,1950,11907,104.99mins,"['with', 'there', 'they', 'm', 'll', 'up', 'about', 'd', 've', 'your']"
ThreeLittleWordssrt,1950,11113,102.31mins,"['bert', 'm', 'do', 'know', 'll', 'so', 'yeah', 'just', 'your', 're']"
APlaceintheSunsrt,1951,8811,116.59mins,"['ll', 'your', 'george', 'there', 'm', 'know', 'here', 'do', 'just', 'go']"
AStreetcarNamedDesiresrt,1951,14484,124.30mins,"['blanche', 'm', 'with', 'do', 'are', 'stella', 'so', 'out', 'here', 'now']"
AfricanQueensrt,1951,7526,100.07mins,"['miss', 'll', 'do', 'there', 'allnut', 'mr', 'they', 'charlie', 'but', 'if']"
AnAmericaninParissrt,1951,8252,93.18mins,"['la', 'm', 'do', 'll', 'know', 're', 'so', 'good', 'but', 'your']"
AtWarwiththeArmysrt,1951,9691,91.55mins,"['here', 'do', 'yes', 'sergeant', 'now', 'come', 'out', 'see', 'm', 'right']"
DavidandBathshebasrt,1951,7790,113.64mins,"['his', 'your', 'will', 'sire', 'david', 'but', 'him', 'with', 'if', 'king']"
DecisionBeforeDawnsrt,1951,15076,119.42mins,"['your', 'here', 'are', 'yes', 'right', 'there', 'they', 'know', 'but', 'll']"
QUOVADISsrt,1951,16026,171.02mins,"['your', 'they', 'will', 'with', 'as', 'but', 'are', 'do', 'rome', 'his']"
ShowBoatsrt,1951,8644,103.32mins,"['julie', 'just', 'your', 'but', 'with', 'there', 'are', 'know', 'right', 'now']"
ThatsMyBoysrt,1951,13850,97.70mins,"['junior', 'your', 'm', 'll', 'with', 'but', 'do', 'now', 'son', 'up']"
TheGreatCarusosrt,1951,8381,109.04mins,"['singing', 'but', 'enrico', 'caruso', 'language', 'foreign', 'continues', 'sing', 'signor', 'do']"
HansChristianAndersensrt,1952,9231,112.33mins,"['hans', 'are', 'do', 'but', 'andersen', 'so', 'm', 'now', 'with', 'peter']"
HighNoonsrt,1952,6762,83.14mins,"['know', 'will', 'here', 'do', 're', 'm', 'right', 'll', 'got', 'kane']"
Ivanhoesrt,1952,9057,101.44mins,"['your', 'him', 'his', 'ivanhoe', 'but', 'will', 'at', 'with', 'as', 'are']"
JumpingJackssrt,1952,9678,95.48mins,"['m', 're', 'chick', 'll', 'your', 'now', 'go', 'do', 'here', 'right']"
LasnievesdelKilimanjarosrt,1952,9994,108.76mins,"['harry', 'm', 'do', 'darling', 'with', 'if', 'll', 've', 'know', 'here']"
MoulinRougesrt,1952,10940,118.09mins,"['your', 'do', 'll', 'but', 'are', 'with', 'monsieur', 'they', 'one', 'as']"
SailorBeware1952DeanMartinJerryLewissrt,1952,11397,99.44mins,"['ll', 'do', 'up', 're', 'one', 'come', 'your', 'now', 'right', 'm']"
Thegreatestshowonearthsrt,1952,16219,146.20mins,"['your', 'st', 'se', 'brad', 'up', 'thi', 'dont', 'him', 'are', 'with']"
